Empresa,Años Experiencia,Email,Estado,Facturación Estimada,Notas,Notas Investigación,Presencia Digital,Prioridad,Provincia/País,Score ModulorIA,Tamaño Estimado,Teléfono,Ubicación,Web,Certificaciones,Sector,LinkedIn,Facebook,Instagram,Sector Específico,Fecha Primer Contacto,Servicios Potenciales,YouTube,Twitter/X,Última Interacción
ARQUIMA,15,info@arquima.net,🆕 Sin Contactar,💰 >10M€,Líder Passivhaus España. Casa más sostenible Europa en Sant Andreu de la Barca. Nueva sede Abrera 2023.,"ARQUIMA - LÍDER PASSIVHAUS ESPAÑA. Nueva sede en Abrera (Barcelona) desde enero 2023. CEO: José Antonio González. Facturación 2022: +8M€ (+30% vs 2021). EBITDA dos cifras. Previsión superar 30M€. Especializados envolventes consumo energético nulo/casi nulo. Sistema: entramado ligero madera + CLT. Madera certificada PEFC/FSC. Proyectos: Casa Sant Andreu 3 (312m², primera DOBLE certificación Passivhaus Premium + 5 hojas VERDE = casa más sostenible Europa), Casa Cala Murada, Casa Foixà, Casa Calella Palafrugell. Ahorro 90% energía vs CTE 2006, 50% vs CTE 2019. Temperatura 22-24ºC constante todo el año. 10 proyectos ejecución + 25 en cola. Precios desde 1.400€/m2. Miembro AECI. Artículos: El Mueble, ProSostenible. Delegaciones nacionales.",🚀 Excelente,⭐ Media,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),936 821 006,"Abrera, Barcelona",arquima.net,"LEED, Passivhaus",,,,,"Madera, Passivhaus, Prefabricados, Residencial, Sostenible/Eco",,,,,
HusCompagniet,53,che@huscompagniet.dk,🆕 Sin Contactar,💰 >10M€,Fundada 1972. 501-1000 empleados. Diseño arquitectos,"HUSCOMPAGNIET - MAYOR CONSTRUCTOR CASAS DINAMARCA. Fundada 1972. Sede: Agerøvej 31 A, 8381 Tilst, Dinamarca. +28.500 casas construidas. 348-400 EMPLEADOS. EMPRESA COTIZADA (HUSCO). Revenue ~380M USD (2025). 24% market share. 4.9/5 Trustpilot (7.194 reviews). CONTACTO: Cristina Rønde Hefting (Head of Investor Relations & Press), Tel: +45 51 96 23 14, Email: mailto:che@huscompagniet.dk. Partnership VELUX Living Places. Casas unifamiliares personalizables + adosados. Operan Dinamarca. UN Global Compact member desde 2020. Target: REFERENCIA sector danés - modelo de negocio asset-light.",🚀 Excelente,🔥 Alta,Dinamarca,⭐⭐⭐⭐ Muy Buen Fit,🏢 Grande (50+ empleados),+45 5196 2314,Horsens,huscompagniet.dk,,,https://www.linkedin.com/company/huscompagniet-a-s,,,"Madera, Prefabricados, Residencial",,,,,
Emsamble,10,info@emsamble.com,🆕 Sin Contactar,💶 1-5M€,"Arquitectura modular inteligente. 95% taller, 80% reducción plazos. Casas pasivas.","EMSAMBLE - Empresa GALLEGA arquitectura modular inteligente. Operación NACIONAL + internacional. Tel: 981 306 846. 6.1K seguidores Instagram (BUENO). 2.038 seguidores LinkedIn. ISO 9001. Sistema: 95% fabricación en taller, 80% reducción plazos vs tradicional. Casas pasivas gasto energético casi nulo. Precio cerrado. Proyectos: Valencia (casa fachada piedra 2022), Santiago Compostela (93m², 60 días fabricación, 24h ensamblado), Galicia. Aparición TV Galicia programa 'Que Casas'. Open House disponible visitas. Subvenciones: IGAPE, FEDER, IEBT, CDTI, PEL. FIT: ⭐⭐⭐⭐ Mediana innovadora, fuerte presencia digital, target B2C clase media-alta + B2B industrial.",✅ Buena,⭐ Media,Valencia,⭐⭐⭐⭐ Muy Buen Fit,🏬 Mediana (20-50 empleados),981 306 846,"Negreira, Galicia (act. nacional)",emsamble.com,ISO,,https://linkedin.com/company/emsamble,,https://instagram.com/emsamblemodular,"Industrial, Passivhaus, Prefabricados, Residencial, Sostenible/Eco",,,,,
Casa Móvil Sur,20,,🆕 Sin Contactar,,"Mobil homes, casas móviles y prefabricadas (no construcción modular tradicional)","CASA MÓVIL SUR - Empresa de mobilhomes/casas móviles (no construcción modular tradicional). Contacto verificado en web oficial: dirección Málaga (Carretera Churriana–Cártama A-7052 km 0,6, Los Nogales 52, 29130 Alhaurín de la Torre), Barcelona (Cardedeu) y Madrid (Valdemoro). Teléfono principal: 681 98 35 26 (también muestran teléfonos por ciudad). Redes oficiales enlazadas en web: Facebook e Instagram. WhatsApp: +34 653 061 167.",🚀 Excelente,💤 Baja,Málaga,⭐ Bajo Fit,🏪 Pequeña (5-20 empleados),681 98 35 26,"Alhaurín de la Torre, Málaga",casamovilsur.com,,,,https://www.facebook.com/casamovilsur,https://www.instagram.com/casamovilsur/,,,,,,
Marín Garre Modular,,fulgencio@maringarre.com,🆕 Sin Contactar,,Reformas y construcción tradicional (no modular),"MARÍN GARRE CONSTRUCCIÓN Y MEDIO AMBIENTE S.L. - Confirmado que NO es empresa de construcción modular/prefabricada. Es empresa de reformas y construcción tradicional en Murcia. Contacto verificado en web oficial: C. Conte 1, 30011 Murcia. Tel/WhatsApp: 686 13 77 80. Email: mailto:fulgencio@maringarre.com.",✅ Buena,💤 Baja,Alicante,⭐ Bajo Fit,🏪 Pequeña (5-20 empleados),686 13 77 80,Murcia,https://maringarre.com/,,,,,,,,,,,
NorgesHus España,,robert.rank@norgeshus.ee,🆕 Sin Contactar,,Fábrica con casas piloto. Visitas disponibles. Reportaje RTVE.,"NORGESHUS ESPAÑA (Norges Hus Nova SL) - Fábrica en CV-825, 03679 Monforte del Cid, Alicante. Contactos verificados: Robert Rank (móvil/WhatsApp +34 653 069 106, email mailto:robert.rank@norgeshus.ee), Greta Martina (mailto:greta.martina@norgeshus.ee). REPORTAJE RTVE sobre la fábrica destacando auge casas prefabricadas. Casas prefabricadas madera alta calidad para toda Europa. Producción rápida. Casas piloto visitables. Modelos desde Casa SMART 115 (31.200€ + IVA, 115m²). Paredes externas aisladas 300mm. Ventanas uPVC triple acristalamiento U=0.95. Casa modular muestra a la venta 25.000€ + IVA. Webs: http://norgeshus.es, http://casasmodularesnorgeshus.es. Presencia internacional: Italia, Portugal, Francia, Alemania, Austria, Holanda, Grecia, Estonia. Redes: Facebook, Instagram, LinkedIn.",✅ Buena,⭐ Media,Alicante,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),653 069 106,"Monforte del Cid, Alicante",norgeshus.es,,,https://www.linkedin.com/company/97873843/,https://www.facebook.com/norgeshusspain,https://www.instagram.com/norgeshusspain/,,,,,,
Arcitur Homes,,infoventas@arciturhomes.com,🆕 Sin Contactar,,Sede Madrid. Sistema Arcitur Hybrid Core. Desde 90.000€,ARCITUR HOMES (duplicado) - Misma información: Empresa CASAS MODULARES Y PREFABRICADAS Barcelona. Construcción rápida 70% menos tiempo. Proceso industrializado control fábrica. Personalización total diseños únicos. Alta eficiencia energética materiales última generación. Aislamiento térmico acústico superior. Vivienda sostenible asequible excelente calidad-precio. Compromiso satisfacción clientes Barcelona área metropolitana.,🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),,Madrid (Pº Castellana 40),arciturhomes.com,,,,,,,,,,,
LERCASA,42,info@lercasa.com,🆕 Sin Contactar,💶 1-5M€,Fabricación casas prefabricadas desde 1983. Casas rústicas,"LERCASA (LERMA CARAVANAS SL) - Empresa ACTIVA MÁS ANTIGUA sector España. Fundada 1983. +40 años experiencia. Marca comercial: MASTER. Fabricantes CASAS PREFABRICADAS MODULARES. Materiales alta durabilidad máximo aislamiento térmico acústico menor mantenimiento. Interior exterior: todos detalles acabados máximo confort. Amplio equipamiento serie + opciones. Casas LISTAS ENTRAR VIVIR 24m² hasta +200m². Distribuciones interiores personalizables medida cliente. Series: MasterClass (vanguardistas contemporáneas), MasterLand (adaptadas entorno), MiniClass (minicasas 20m²), Innova (camping resorts). Referente constante innovación sector. Prestigio durabilidad mundo camping. Casas +30 años conservadas. Toledo/Valladolid. Oficinas prefabricadas edificaciones modulares. Target: Clientes buscando casas modulares prefabricadas calidad durabilidad personalización.",🚀 Excelente,🔥 Alta,Toledo,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),983 870 052,Toledo,lercasa.com,,"Modular Madera, Prefabricadas",,https://facebook.com/lercasa,,"Madera, Prefabricados, Residencial",,,,,
Modunova,,,🆕 Sin Contactar,,15 años experiencia. Ahorro 25%. Empresa LOCAL Sevilla,"MODUNOVA - ⚠️ ERROR: MODULNOVA es empresa italiana MUEBLES DISEÑO (cocinas, baños, living, exterior). NO es empresa construcción modular/casas prefabricadas. Showrooms: Madrid (Gran Vía), Barcelona. Productos: Muebles cocina diseño, Muebles baño, Muebles salón/living, Muebles exterior. Sector: INTERIORISMO Y MOBILIARIO, NO construcción. Web: http://modulnova.com. ⚠️ CONCLUSIÓN: NO corresponde a construcción modular. Posible ERROR en base datos o CONFUSIÓN con nombre similar. Si existe 'Modunova' construcción modular España, NO se encontró información. Requiere VERIFICACIÓN si nombre correcto o si empresa construcción modular existe realmente. Datos actuales corresponden 100% empresa italiana muebles diseño.",🚀 Excelente,💤 Baja,Sevilla,⭐ Bajo Fit,❓ Desconocido,651 330 061,"Alcalá del Río, Sevilla",modunova.com,,,,,,,,,,,
Modularika,,,🆕 Sin Contactar,,Módulos prefabricados listos para usar,"MODULARIKA - Empresa MÓDULOS PREFABRICADOS listos para usar. Ubicación: Posiblemente México/LATAM (precios en formato no europeo). USOS MÚLTIPLES: 1) Vivienda moderna accesible o renta (Airbnb, plataformas), 2) Oficina/bodega espacios productivos, 3) Comercio (locales, escuelas, hospitales, dormitorios), 4) Desarrollos horizontales/verticales, 5) Ampliaciones (sala juegos, TV, segundo nivel). PRECIOS TRANSPARENTES sin sorpresas: Todo incluido (impuestos, traslado, instalación). Promesa: Lo que ves es lo que pagas, sin cargos ocultos. Enfoque: Innovación, respaldo, transparencia. Target: Clientes buscando soluciones modulares versátiles múltiples aplicaciones. ⚠️ REQUIERE VERIFICACIÓN: Posible empresa NO española (México/LATAM) mal clasificada en base datos. Web estilo latinoamericano.",⚠️ Regular,💤 Baja,Toledo,⭐ Bajo Fit,❓ Desconocido,,Toledo,modularika.com,,,,,,,,,,,
Prefab Koncept,9,,🆕 Sin Contactar,,Fundada 2016. Casas modulares sostenibles. Diseño personalizado,"PREFAB KONCEPT - ⚠️ EMPRESA DANESA (Dinamarca), NO española. Fundada 2016. Ubicación: Assens Municipality, Dinamarca. Casas modulares sostenibles. Diseño personalizado. Información limitada encontrada. NO opera España - empresa danesa mercado escandinavo. ⚠️ DESCALIFICAR: Fuera de España.",⚠️ Regular,💤 Baja,Dinamarca,⭐ Bajo Fit,❓ Desconocido,,Assens Municipality,prefabkoncept.dk,,,,,,,,,,,
Larc BR,,info@larcbr.es,🆕 Sin Contactar,💶 1-5M€,Casas modulares prefabricadas,"LARC BR - Casas modulares industrializadas. Sede: VALENCIA. Especialistas construcción industrializada. Construcción 2D EN FÁBRICA + montaje in situ. Sistema muros prefabricados incluyen instalaciones y acabados. Ensamblaje y personalización directamente en parcela. Terrenos difícil acceso: construcción ÍNTEGRA en propia parcela. Adelanto vivienda mientras tramitan permisos + cimentación (solapamiento fases = tiempos MÁS CORTOS). Construcción SECA reduce 40-50% USO AGUA vs construcción tradicional. Entornos controlados fábrica = materiales máxima calidad, reducción errores, residuos mínimos. Servicio llave en mano. Soluciones personalizadas completamente. Enfoque: Eficiencia, rapidez, sostenibilidad. Target: Clientes Valencia buscando construcción rápida eficiente personalizada. Transformar manera construir viviendas.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),963 14 51 63,"Catarroja, Valencia",larcbr.es,,"Construcción Industrializada, Prefabricadas",,,,"Prefabricados, Residencial",,,,,
Casas TecnoHome,15,info@casastecnohome.es,🆕 Sin Contactar,,15+ años. STEEL FRAME acero galvanizado. Sistema TERMO-HOUSE. Garantía 50+ años. Hasta 3 alturas.,"CASAS TECNOHOME - Medina de Pomar, BURGOS. Tel: 947 19 21 03. Email: mailto:info@casastecnohome.es. Web: http://casastecnohome.es. Dirección: Polígono Industrial 'Las Navas', C/ Zaragoza 7, 09550 Medina de Pomar (Burgos). Horario: L-V 08:00-13:00 y 16:00-19:00h. +15 AÑOS fabricando casas modulares. Sistema TERMO-HOUSE (aislamiento primera calidad, ahorro energético 50%). Estructura ACERO GALVANIZADO en caliente estilo STEEL FRAME. GARANTÍA estructuras: +50 AÑOS. Edificaciones hasta 3 ALTURAS. Protección corrosión casi indefinida. Instalación vivienda: 2 SEMANAS. Servicio LLAVE EN MANO toda península. Sección pared: 23-25 cm. Cumplimiento CTE. Acabados exteriores variados (madera, piedra, ladrillo). Fabricación control numérico. Modelos: Asturias, Guipúzcoa, León, Lugo, Soria. Target: Viviendas unifamiliares 1-3 plantas toda España.",✅ Buena,🔥 Alta,Salamanca,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),947 192 103,"Polígono Industrial Las Navas, C/ Zaragoza 7, 09550 Medina de Pomar, Burgos",casastecnohome.es,,,,,,,,,,,
GESTRIA HOME,,info@gestria.es,🆕 Sin Contactar,,Casas modulares y prefabricadas de diseño,GESTRIA HOME - Casas modulares y prefabricadas de diseño en Málaga. Tel: 627 457 566. Email: mailto:info@gestria.es. Web: http://gestria.es. Target: Clientes Málaga buscando casas modulares diseño.,✅ Buena,⭐ Media,Málaga,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),627 457 566,Málaga,gestria.es,,"Modular Hormigón, Prefabricadas",,,,"Prefabricados, Residencial",,,,,
Lercasa Master,42,info@lercasa.com,🆕 Sin Contactar,💶 1-5M€,EMPRESA ACTIVA MÁS ANTIGUA SECTOR. Fundada 1983 Burgos. Marca MASTER. Innovadores panel sandwich 1992.,"LERCASA (LERMA CARAVANAS S.L.) - EMPRESA ACTIVA MÁS ANTIGUA del sector casas prefabricadas España. Fundada 1983. Marca comercial MASTER. Ubicación: Lerma, Burgos. Tel: 947 473 074. Email: mailto:info@lercasa.com. Web: http://lercasa.com. SERIES: MasterClass (vanguardistas, contemporáneas), MasterLand (adaptadas entorno), MiniClass (minicasas), Innova (campings/resorts). Tamaños: 24m² a +200m². INNOVACIÓN 1992: Primer fabricante panel sandwich acero + alma espuma poliuretano (copiado por competencia). Materiales alta durabilidad, máximo aislamiento térmico/acústico. Equipamiento completo serie. Fabricación propia. Mayor exposición casas prefabricadas España (26 casas visitables). Alta eficiencia energética. Target: Residencial + campings/resorts.",✅ Buena,🔥 Alta,Málaga,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),947 473 074,"Lerma, Burgos",lercasa.com,,,,,,,,,,,
3D Modular,,,🆕 Sin Contactar,,Arquitectura modular industrializada. 12.000m2 fabricación anual,"EMPRESA fabricante construcción modular industrializada. Ubicada en PAMPLONA (Navarra). +25 años experiencia. Instalaciones: 12.000+ m2 propios en Polígono Arazuri-Orkoien. Capacidad producción: 35.000 m2 anuales. Servicio INTEGRAL llave en mano (diseño, fabricación, transporte, instalación). Focus: Oficinas prefabricadas, baños/vestuarios modulares, casetas vigilancia, instalaciones industriales, sector servicios (educación, sanidad, deportes), instituciones públicas. 100% capital español. Miembro Empresas por el Clima. Especialistas en energías renovables. Plazo entrega: 8-10 semanas.",✅ Buena,🔥 Alta,Madrid,⭐⭐⭐⭐ Muy Buen Fit,🏬 Mediana (20-50 empleados),948 818 308,"Pamplona, Navarra",3dmodular.com,,,,,,,,,,,
Algeco,65,,🆕 Sin Contactar,💰 >10M€,Construcción modular temporal y permanente,"MULTINACIONAL LÍDER construcción modular temporal/permanente. Parte Grupo Modulaire (Europa). +65 años experiencia. LinkedIn activo (posts ESG, sostenibilidad, proyectos). Instagram: 1010 followers. 17.000+ módulos stock España. Sectores: Educación (guarderías, aulas), Sanidad (hospitales, farmacias), Industria, Construcción (casetas obra), Eventos, Seguridad, Oficinas. Gamas: Progress (alta gama), Advance (principal), Origin (básico temporal). Servicios 360º: alquiler + venta. Delegaciones: Valencia (Pobla Vallbona), Madrid (Fuente Saz Jarama), Barcelona, Sevilla, Baleares. Target: B2B empresas + administración pública. Compromiso Net Zero 2050, reducción 55% uso agua vs 2020. 100M€+ facturación grupo. MACROEMPRESAS categoría. FIT MODULORIA BUENO: Empresa grande profesional, pero target B2B construcción temporal/industrial, NO residencial. LinkedIn activo pero Instagram bajo (1K). Servicios AI potencial: CRM gestión alquileres, automatización inventario 17K módulos, marketing digital B2B.",🚀 Excelente,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏢 Grande (50+ empleados),961 662 010,"Pobla de Vallbona, Valencia",algeco.es,,,https://linkedin.com/company/algeco-spain,,https://instagram.com/algeco_spain,"Alquiler, Industrial, Prefabricados, Temporal",,,,,
Mmodos,,modulos@mmodos.com,🆕 Sin Contactar,,Módulos prefabricados. Gestión de trámites,"MMODOS - Contacto verificado en web oficial: Dirección Autovía de Murcia-Cartagena Km 421, 30154 Murcia (también figura Ctra. Cartagena km 421,5 / Torrepacheco en aviso legal). Tel. 666 08 94 78. Email mailto:modulos@mmodos.com. Redes enlazadas: Facebook, Instagram y LinkedIn. Nota: la empresa parece operar desde Murcia (no Alicante).",❌ Pobre,💤 Baja,Alicante,❓ Por Evaluar,❓ Desconocido,666 08 94 78,Murcia (Autovía Murcia-Cartagena Km 421),mmodos.com,,,https://www.linkedin.com/company/mmodos-modulos-prefabricados/,https://www.facebook.com/mmodos.modulos,https://www.instagram.com/mmodosmodulos/,,,,,,
Conrum,70,,🆕 Sin Contactar,💵 5-10M€,CONRUM (antes Mobilhouse). +70 años. Nordic Swan. 300M DKK,"LÍDER DANÉS MODULAR. Fusión 2024 Mobilhouse + Dalsgaard = Conrum. +70 años experiencia. 180 empleados. 4 locaciones: Vejle, Fredericia, Slagelse. Producción 100% Dinamarca. Kirk Kapital ownership. Modular temporal/permanente.",✅ Buena,🔥 Alta,Dinamarca,⭐⭐⭐⭐ Muy Buen Fit,🏢 Grande (50+ empleados),,Fredericia,conrum.dk,,,,,,"Alquiler, Industrial, Prefabricados, Temporal",,,,,
Moodul,,info@moodul.es,🆕 Sin Contactar,,"Casas modulares. Entrega 5 meses. Essence, Prime, Prestige","MOODUL - Casas modulares prefabricadas calidad HORMIGÓN. Sede: Rambla de l'Exposició, 59, 08800 Vilanova i la Geltrú, Barcelona. Tel: +34 938 293 203 (verificado Interempresas). Email: mailto:info@moodul.es. Web: http://moodul.es. Plazos DEFINIDOS + presupuesto CERRADO + tranquilidad todo bajo control. Sistema simplifica proceso construcción convencional complejo. Servicio llave en mano todo incluido (turnkey). Construcción modular hormigón. 3 niveles acabados: Essential, Prime, Iconic. Paneles hormigón arquitectónico resistentes durables. Asesoramiento personalizado. Personalización a medida necesidades cliente. Target: Personas que posponen construcción por complejidad/tiempo. Solución práctica compradores buscan eficiencia. Enfoque: Simplicidad, control, calidad.",✅ Buena,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),938 293 203,"Rambla de l'Exposició, 59, 08800 Vilanova i la Geltrú, Barcelona",moodul.es,,"Modular Hormigón, Prefabricadas",,,,"Hormigón, Prefabricados, Residencial",,,,,
Viviendas VME,20,info@viviendademadera.es,🆕 Sin Contactar,💶 1-5M€,Chalets y casas pasivas prefabricadas,"EMPRESA 20 AÑOS Sueca, Valencia. Razón social: VM Ecogroup S.L. Especialistas CASAS PASIVAS prefabricadas alta calidad. Portfolio: +300 viviendas construidas en Madrid, Valencia, Barcelona. Sistema: Entramado ligero madera + hormigón + acero (Ossature Bois francés). CERTIFICACIONES: Casas Pasivas / nZEB (edificios consumo casi nulo). Materiales: OSB3, madera laminada GL24H, aislamiento ideal Passivhaus, PVC triple vidrio, sistema SATE fachadas. Precios: Desde 86K€ (modelos 100m2) hasta 267K€ (241m2). Facilidades pago. Target: B2C consumidor final clase media-alta. Plazos: Rápidos vs obra tradicional. ⚠️ PRESENCIA DIGITAL: Facebook (mencionado repetidamente), NO LinkedIn empresa, NO Instagram encontrado = Señal PREOCUPANTE. FOROS: Reputación MIXTA - Constructora tradicional reconvertida, obras subcontratadas a fabricantes. Fit ModulorIA MEDIO-ALTO: Especialización Passivhaus POSITIVA (+300 casas, 20años), pero falta presencia digital profesional LinkedIn/Instagram critica.",⚠️ Regular,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),642 231 672 / 643 037 823,"C. Villa Corbera, 22, 46410 Sueca, Valencia",viviendasvme.es,Passivhaus,,No encontrado,"Construcción de Viviendas VME (mencionado, URL no encontrada)",No encontrado,"Hormigón, Madera, Passivhaus, Sostenible/Eco",,,,,
Prefabrik,,,🆕 Sin Contactar,,Casas prefabricadas baratas. Controles rigurosos calidad,,,⭐ Media,Sevilla,,,,Sevilla,prefabrik.es,,,,,,,,,,,
Modular Home Alicante,,alicante@modularhome.es,🆕 Sin Contactar,,Delegación Alicante. Casas modulares desde 57.231€,"Delegación Alicante (Elche). Contacto de delegación verificado en web oficial: mailto:alicante@modularhome.es, 696 59 69 86, Calle Panamá 1, planta 3, oficina 4, 03205 Elche (Alicante). Redes oficiales de la marca Modular Home: IG, FB, LinkedIn, X.",,⭐ Media,Alicante,,,696 59 69 86,Alicante,modularhome.es,,,https://es.linkedin.com/company/casas-modular-home,https://www.facebook.com/modularhome.es,https://www.instagram.com/modular_home/,,,,,https://twitter.com/modular_home,
Forest House,,info@foresthouse.es,🆕 Sin Contactar,,Casas de madera Passivhaus. Alto aislamiento A+,"FOREST HOUSE - Especialista CASAS MADERA PREFABRICADAS Barcelona. Construcción ECOLÓGICA y SOSTENIBLE. Máximas calificaciones energéticas. Construcción innovadora para todo tipo terrenos. Servicios: Construcción casas madera, Rehabilitación edificios, Casetas jardín, Pérgolas exteriores. Enfoque: Construcción general + carpintería madera. Proyectos exteriores revalorizan jardines/terrazas. Gama completa casetas jardín (almacenaje herramientas, oficinas, taller bricolaje). Material: MADERA como protagonista. Aislante natural renovable. Target: Clientes Barcelona y Cataluña buscando viviendas ecológicas madera. También hoteles (construcción apartamentos Sierra Nevada Granada). +20 años experiencia sector según algunas fuentes.",⚠️ Regular,⭐ Media,Barcelona,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),935 127 202,"Sant Martí, Barcelona",foresthouse.es,,,,,,,,,,,
Ideas Exteriores,,info@gloci.es,🆕 Sin Contactar,💶 1-5M€,ESTUDIO ARQUITECTURA CANARIAS. Steel frame + CLT. Premio Miguel Martín Fernández de la Torre. Reducción 50% tiempos.,"GLOCI - ESTUDIO ARQUITECTURA especializado VIVIENDAS INDUSTRIALIZADAS Canarias. Tel: +34 628 016 921. Email: mailto:info@gloci.es. Web: http://gloci.es. Redes: Instagram, LinkedIn, Facebook. Sistemas constructivos: STEEL FRAME + CLT (madera contralaminada). Filosofía: industrialización proceso constructivo. Ventajas: REDUCCIÓN 50% TIEMPOS ejecución, minimiza residuos, estándar calidad superior vivienda tradicional. Servicios: viviendas modulares catálogo + vivienda medida personalizadas. Diseño basado experiencia humana + conocimiento entorno. PREMIO MIGUEL MARTÍN FERNÁNDEZ DE LA TORRE por Casa de las Cuevas (arquitectura industrial con alma canaria). Aparición La Provincia. Target: Clientes Canarias buscando arquitectura contemporánea industrializada con identidad local.",✅ Buena,🔥 Alta,Toledo,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),+34 628 016 921,"Yuncos, Toledo",ideas-exteriores.com,,"Modular Madera, Prefabricadas, Sostenible",https://arquitecturaligera.com/contacto/,https://piscinasmodulares.com/,https://arquitecturaligera.com/wp-content/plugins/revslider/public/assets/assets/dummy.png,"Madera, Prefabricados, Residencial, Sostenible/Eco",,,,,
ARQUIMA,,info@arquima.net,🆕 Sin Contactar,,Construcción madera industrializada,"ARQUIMA - Empresa Barcelona especializada CONSTRUCCIÓN INDUSTRIALIZADA MODULAR. Estructura MADERA. Muchos años experiencia mercado nacional. Proceso expansión internacional. Dos sistemas constructivos: Sistema Envolvente SEA y Sistema construcción altura Ca2d. Permite manufacturar cualquier tipo proyecto edificación: Oficinas, viviendas, educación, senior housing, student housing. Construcción fábrica + montaje sitio. ARQUIMA Design: Colección modelos diseñados arquitectos únicos. Sostenibilidad construcción modular madera. Participación BBC2019 Barcelona Building Construmat. Target: Profesionales arquitectura, promotores, clientes particulares buscando construcción industrializada madera.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),936 821 006,Barcelona/Valencia,arquima.net,,,,,,,,,,,
The Concrete Home,40,,🆕 Sin Contactar,💵 5-10M€,Casas prefabricadas hormigón a medida. Sistema TCH. 6 meses,"THE CONCRETE HOME S.L. - Casas prefabricadas HORMIGÓN premium. Fundada 2015. Sede: Torrelodones, Madrid. OFICINA MÁLAGA: Tel +34 951 23 93 03, Alameda de Colón, 9. Web: http://theconcretehome.com. 14 EMPLEADOS (+10% YoY). $5.5M FACTURACIÓN. +30 AÑOS experiencia construcción tradicional + innovación prefabricados. PROYECTO LLAVE EN MANO presupuesto cerrado. Plazo: MÁXIMO 8 MESES. Ahorro: hasta 4.000€/año facturas suministros. Máxima eficiencia energética. Proyectos terminados: Majadahonda (240m²), Torrelodones (210m²), Galapagar (150m²), Colmenarejo, Pozuelo de Alarcón. 15 proyectos en Homify. Target: Clientes Madrid/Málaga buscando hormigón premium precio cerrado.",,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),+34 951 239 303,"Torrelodones, Madrid",theconcretehome.com,,,,,,,,,,,
Panelais Producciones,,,🆕 Sin Contactar,,Líder paneles sándwich. 100.000m2 instalaciones. LOCAL Salamanca,,,🔥 Alta,Salamanca,,,923 19 11 75,"Huerta, Salamanca",panelais.com,,,,,,,,,,,
Mobilhouse A/S,73,,🆕 Sin Contactar,,+60 años. Construcción modular flexible y sostenible,"MOBILHOUSE A/S - ⚠️ EMPRESA DANESA (Dinamarca), NO española. Fundada 1952. Sede: Fredericia (2 plantas fabricación) + Bjæverskov (oficinas, almacén, ensamblaje final). Fabricación, venta y arrendamiento EDIFICIOS MODULARES. Productos: Oficinas, escuelas, viviendas estudiantes, alojamiento temporal, casetas obra. 2019: Adquirida por Adelis Equity. 2023: Adquirió Dalsgaard (empresa construcción Vejle). Crecimiento acelerado objetivo. Mercado: Principalmente Dinamarca países nórdicos. Target: Sector construcción educación alojamiento temporal necesitando espacios modulares. ⚠️ NO opera España - empresa danesa mercado nórdico.",✅ Buena,💤 Baja,Dinamarca,⭐ Bajo Fit,🏬 Mediana (20-50 empleados),,Fredericia,mobilhouse.dk,,,,,,,,,,,
AP Modular Mallorca,,info@apcasasmodulares.com,🆕 Sin Contactar,,Casas modulares a medida. Personalización completa,,,⭐ Media,Baleares,,,971 760 500,07199 Palma,apcasasmodulares.com,,,,,,,,,,,
